time,F1_ORIGINAL
7383.22,361.064
7383.32,346.929
7383.42,332.475
7383.52,317.712
7383.62,302.65
7383.72,287.3
7383.82,271.671
7383.92,255.775
7384.02,300.531
7384.12,279.965
7384.22,259.105
7384.32,237.965
7384.42,216.56
7384.52,194.905
7384.62,173.015
7384.72,150.904
7384.82,128.588
7384.92,106.082
7385.02,73.2959
7385.12,53.2231
7385.22,33.0242
7385.32,12.7131
7385.42,0
7385.52,0
7385.62,0
7385.72,0
7385.82,0
7385.92,0
7386.02,0
7386.12,0
7386.22,0
7386.32,0
7386.42,0
7386.52,0
7386.62,0
7386.72,0
7386.82,0
7386.92,0
7387.02,0
7387.12,0
7387.22,0
7387.32,0
7387.42,0
7387.52,0
7387.62,0
7387.72,0
7387.82,0
7387.92,0
7388.02,0
7388.12,0
7388.22,0
7388.32,0
7388.42,0
7388.52,0
7388.62,0
7388.72,0
7388.82,0
7388.92,0
7389.02,0
7389.12,0
7389.22,0
7389.32,0
7389.42,0
7389.52,0
7389.62,0
7389.72,0
7389.82,0
7389.92,0
7390.02,0
7390.12,0
7390.22,0
7390.32,0
7390.42,0
7390.52,0
7390.62,0
7390.72,0
7390.82,0
7390.92,0
7391.02,0
7391.12,0
7391.22,0
7391.32,0
7391.42,0
7391.52,0
7391.62,0
7391.72,0
7391.82,0
7391.92,0
7392.02,0
7392.12,0
7392.22,0
7392.32,0
7392.42,0
7392.52,0
7392.62,0
7392.72,0
7392.82,0
7392.92,0
7393.02,0
7393.12,0
7393.22,0
7393.32,0
7393.42,0
7393.52,0
7393.62,0
7393.72,0
7393.82,0
7393.92,0
7394.02,0
7394.12,0
7394.22,0
7394.32,0
7394.42,0
7394.52,0
7394.62,0
7394.72,0
7394.82,0
7394.92,0
7395.02,0
7395.12,0
7395.22,0
7395.32,0
7395.42,0
7395.52,0
7395.62,0
7395.72,0
7395.82,0
7395.92,0
7396.02,0
7396.12,0
7396.22,0
7396.32,0
7396.42,0
7396.52,0
7396.62,0
7396.72,0
7396.82,0
7396.92,0
7397.02,0
7397.12,0
7397.22,0
7397.32,0
7397.42,0
7397.52,0
7397.62,0
7397.72,0
7397.82,0
7397.92,0
7398.02,0
7398.12,0
7398.22,0
7398.32,0
7398.42,0
7398.52,0
7398.62,0
7398.72,9.58374
7398.82,27.9144
7398.92,46.143
7399.02,56.7591
7399.12,72.6472
7399.22,88.4121
7399.32,104.043
7399.42,119.529
7399.52,134.86
7399.62,150.025
7399.72,165.014
7399.82,179.817
7399.92,194.423
7400.02,212.963
7400.12,227.427
7400.22,241.66
7400.32,255.653
7400.42,269.395
7400.52,282.878
7400.62,296.093
7400.72,309.029
7400.82,321.679
7400.92,334.034
7401.02,340.634
7401.12,352.187
7401.22,363.426
7401.32,374.342
7401.42,384.928
7401.52,395.176
7401.62,405.08
7401.72,414.632
7401.82,423.826
7401.92,432.657
7402.02,471.985
7402.12,480.635
7402.22,488.876
7402.32,496.704
7402.42,504.112
7402.52,511.096
7402.62,517.65
7402.72,523.771
7402.82,529.454
7402.92,534.696
7403.02,527.585
7403.12,531.836
7403.22,535.646
7403.32,539.012
7403.42,541.931
7403.52,544.401
7403.62,546.422
7403.72,547.99
7403.82,549.106
7403.92,549.769
7404.02,558.059
7404.12,557.81
7404.22,557.1
7404.32,555.931
7404.42,554.302
7404.52,552.215
7404.62,549.671
7404.72,546.672
7404.82,543.22
7404.92,539.318
7405.02,650.057
7405.12,644.23
7405.22,637.867
7405.32,630.971
7405.42,623.548
7405.52,615.602
7405.62,607.14
7405.72,598.166
7405.82,588.687
7405.92,578.709
7406.02,522.003
7406.12,511.94
7406.22,501.44
7406.32,490.508
7406.42,479.153
7406.52,467.382
7406.62,455.203
7406.72,442.625
7406.82,429.656
7406.92,416.306
7407.02,431.597
7407.12,416.496
7407.22,401.015
7407.32,385.165
7407.42,368.958
7407.52,352.404
7407.62,335.515
